qid,subject,question
3,miscellaneous,What rank entitles a general in the US Army to wear three stars?
11,public_relations,Watson and Noble (2005) lay out a five-step model for circular evaluation. At which step should pre-testing of strategy and tactics be carried out?
14,public_relations,Emma is browsing a popular website when she runs across the story of a well-known actor who was recently pulled over for speeding and driving down the wrong side of the street. It ...
21,high_school_us_history,"This question refers to the following information. It is natural, it is a privilege, I will go farther, it is a right, which all free men claim, that they are entitled to complain ..."
24,high_school_psychology,Stephen is going through his second divorce. He thinks that no woman will ever love him again. His therapist points out to Stephen that his thinking is irrational and faulty. Which...
27,high_school_us_history,"This question refers to the following information. ""If you analyze it I believe the very heart and soul of conservatism is libertarianism. I think conservatism is really a misnomer..."
28,high_school_european_history,"This question refers to the following information. As a Jew, I have never believed in collective guilt. Only the guilty were guilty. Children of killers are not killers but childre..."
30,professional_law,"A state has recently released medical statistics showing that the number of new AIDS cases within the state has quadrupled from the preceding year. In 2008, the state reported that..."
32,high_school_psychology,"In a cartoon, an angel is perched on one shoulder and a devil is perched on the other shoulder of a character who needs to decide whether to give money to a homeless man or not. Th..."
50,security_studies,Historical materialism is founded on the ideas and philosophies of which theorists?
58,high_school_european_history,"This question refers to the following information. ""A specter is haunting Europe-the specter of Communism. All the powers of old Europe have entered into a holy alliance to exorcis..."
59,machine_learning,"You've just finished training a decision tree for spam classification, and it is getting abnormally bad performance on both your training and test sets. You know that your implemen..."
67,high_school_world_history,"This question refers to the following information. ""Upon this a question arises: whether it be better to be loved than feared or feared than loved? It may be answered that one shou..."
81,professional_psychology,“Time-out” procedures in manipulating behaviors are based on the conditioning concept of
90,professional_law,"Proposed legislation was offered to a state legislature that would reorganize the state police. The bill created a great deal of controversy, both in and outside the state governme..."
110,high_school_european_history,"This question refers to the following information. Read the following excerpt. Never were talents of the highest genius of the most exalted kind, more profusely bestowed upon a hum..."
112,professional_psychology,"Social influence occurs when an individual’s attitude, thoughts, feelings, or behaviors are affected by the persuasive effect of others. There are many responses. Which type of soc..."
116,high_school_us_history,"This question refers to the following information. ""One-half of the people of this nation to-day are utterly powerless to blot from the statute books an unjust law, or to write the..."
135,high_school_statistics,"To determine the average number of children living in single-family homes, a researcher picks a simple random sample of 50 such homes. However, even after one follow-up visit the i..."
138,logical_fallacies,Applying irrelevant standards to the subject of the argument is the fallacy of
140,professional_law,"An industrial town with a population of 100,000, is located on the north side of a river. On the south side of the river is situated a rural community with a population of 40,000. ..."
164,high_school_psychology,"While visiting a museum, you study a statue by walking around it and examining it from many different places in the room. The retinal images of the statue change, but you do not pe..."
168,professional_law,Congress has recently enacted a statute requiring all males between the ages of 18 and 30 to take a physical examination each year. The results of the exam are sent to a government...
181,high_school_us_history,"This question refers to the following information. ""The conscience of the people, in a time of grave national problems, has called into being a new party, born of the nation's sens..."
