analysis,group,fraction,statistic,n,n_questions,estimate,ci_lower,ci_upper,n_boot,seed,notes
mean_answer_entropy,correct,0.0,mean,3124,472,0.5918928269643392,0.5529273154400767,0.6309055729997508,5000,42,
mean_answer_entropy,incorrect,0.0,mean,378,472,0.7483812828660379,0.6656622565044157,0.8307112080385393,5000,42,
mean_answer_entropy_difference,incorrect_minus_correct,0.0,difference,3502,472,0.1564884559016987,0.06603791943442082,0.24871449317645697,5000,42,
mean_answer_entropy,correct,0.1,mean,3026,472,0.6707878929497958,0.6323887021884054,0.7090326360408228,5000,42,
mean_answer_entropy,incorrect,0.1,mean,354,472,0.8498977284702869,0.770561413216871,0.9254183901009361,5000,42,
mean_answer_entropy_difference,incorrect_minus_correct,0.1,difference,3380,472,0.1791098355204911,0.0918655969641458,0.26582927936809275,5000,42,
mean_answer_entropy,correct,0.2,mean,2950,472,0.6684836564088105,0.6291167262247579,0.7063908690055724,5000,42,
mean_answer_entropy,incorrect,0.2,mean,344,472,0.830566238544012,0.7578139262355512,0.8999290246815239,5000,42,
mean_answer_entropy_difference,incorrect_minus_correct,0.2,difference,3294,472,0.16208258213520155,0.0807236729321725,0.24209019599725556,5000,42,
mean_answer_entropy,correct,0.3,mean,2869,472,0.6474566993425425,0.6095015245353431,0.6853553961120037,5000,42,
mean_answer_entropy,incorrect,0.3,mean,329,472,0.8084854445030456,0.7329955826140385,0.8810357817944102,5000,42,
mean_answer_entropy_difference,incorrect_minus_correct,0.3,difference,3198,472,0.16102874516050314,0.07723392150388926,0.24273778367167204,5000,42,
mean_answer_entropy,correct,0.4,mean,2855,472,0.5988968160193294,0.5619492971031372,0.6359221392032484,5000,42,
mean_answer_entropy,incorrect,0.4,mean,326,472,0.7395885291836863,0.6665192643189337,0.8106446453021182,5000,42,
mean_answer_entropy_difference,incorrect_minus_correct,0.4,difference,3181,472,0.1406917131643569,0.05849102333489463,0.2196354910306529,5000,42,
mean_answer_entropy,correct,0.5,mean,2824,472,0.5442942681585481,0.5086889956245926,0.5802546347374448,5000,42,
mean_answer_entropy,incorrect,0.5,mean,324,472,0.6824161000621494,0.6060159141255621,0.7594796187017412,5000,42,
mean_answer_entropy_difference,incorrect_minus_correct,0.5,difference,3148,472,0.13812183190360128,0.05330332524255632,0.22402252335496867,5000,42,
mean_answer_entropy,correct,0.6,mean,2837,472,0.4664457658645903,0.4329969694931764,0.49951346882649295,5000,42,
mean_answer_entropy,incorrect,0.6,mean,317,472,0.6082644983265791,0.5371447544384935,0.6797234465809637,5000,42,
mean_answer_entropy_difference,incorrect_minus_correct,0.6,difference,3154,472,0.14181873246198884,0.06313660812165636,0.21798330443553482,5000,42,
mean_answer_entropy,correct,0.7,mean,2841,472,0.36586402941324003,0.3355674548065912,0.3968080730763852,5000,42,
mean_answer_entropy,incorrect,0.7,mean,319,472,0.5308562647844427,0.4605445829344792,0.6008706903078257,5000,42,
mean_answer_entropy_difference,incorrect_minus_correct,0.7,difference,3160,472,0.16499223537120267,0.0889721364826385,0.2396710373139843,5000,42,
mean_answer_entropy,correct,0.8,mean,2910,472,0.2508526420347507,0.22693944418182352,0.2758465922828625,5000,42,
mean_answer_entropy,incorrect,0.8,mean,328,472,0.42666446078650433,0.36666317928437847,0.487980285560616,5000,42,
mean_answer_entropy_difference,incorrect_minus_correct,0.8,difference,3238,472,0.1758118187517536,0.11209980374948302,0.2389564426358524,5000,42,
mean_answer_entropy,correct,0.9,mean,2983,472,0.15774701197382499,0.14031368018743384,0.17605699558084953,5000,42,
mean_answer_entropy,incorrect,0.9,mean,343,472,0.2890870479277421,0.23848966007395664,0.3451503291335853,5000,42,
mean_answer_entropy_difference,incorrect_minus_correct,0.9,difference,3326,472,0.1313400359539171,0.07918217052868304,0.18969482262987017,5000,42,
mean_answer_entropy,correct,1.0,mean,3102,472,0.027446268605579256,0.022932717922156926,0.03266471902547915,5000,42,
mean_answer_entropy,incorrect,1.0,mean,366,472,0.06073959557246381,0.04558701500994076,0.07955430655777848,5000,42,
mean_answer_entropy_difference,incorrect_minus_correct,1.0,difference,3468,472,0.03329332696688456,0.017956969919884998,0.052052805897808564,5000,42,
entropy_change,correct,0.0->1.0,change_f0.0_to_f1.0,3435,472,-0.5644465583587593,-0.6035236033736486,-0.5261461115969954,5000,42,
entropy_change,incorrect,0.0->1.0,change_f0.0_to_f1.0,3435,472,-0.687641687293574,-0.7677630516363415,-0.6070713240692539,5000,42,
entropy_change,correct,0.2->1.0,change_f0.2_to_f1.0,3260,472,-0.6410373878032309,-0.6782642862087749,-0.6022033112401107,5000,42,
entropy_change,incorrect,0.2->1.0,change_f0.2_to_f1.0,3260,472,-0.769826642971548,-0.8368499190632459,-0.7000090292533859,5000,42,
entropy_change,correct,0.0->0.5,change_f0.0_to_f0.5,3129,472,-0.04759855880579167,-0.0729147513987177,-0.022073413611395132,5000,42,
entropy_change,incorrect,0.0->0.5,change_f0.0_to_f0.5,3129,472,-0.06596518280388841,-0.13073220626599336,-0.0015125279479935034,5000,42,
entropy_change,correct,0.5->1.0,change_f0.5_to_f1.0,3131,472,-0.5168479995529677,-0.5521598876904816,-0.48117117570311707,5000,42,
entropy_change,incorrect,0.5->1.0,change_f0.5_to_f1.0,3131,472,-0.6216765044896856,-0.6949141500393565,-0.5483433902185738,5000,42,
endpoint_concentration,correct,1.0,pct_max_ad_prob_ge_0.90,3102,472,99.00064474532559,,,5000,42,"descriptive, no CI"
endpoint_concentration,correct,1.0,pct_answer_entropy_below_0.1_nats,3102,472,94.39071566731141,,,5000,42,"descriptive, no CI"
endpoint_concentration,incorrect,1.0,pct_max_ad_prob_ge_0.90,366,472,97.26775956284153,,,5000,42,"descriptive, no CI"
endpoint_concentration,incorrect,1.0,pct_answer_entropy_below_0.1_nats,366,472,83.60655737704919,,,5000,42,"descriptive, no CI"
mixed_outcome_mean,correct,0.0,mean,84,84,0.8100259770050277,0.7388252237724784,0.8791706833288724,5000,42,equal weight per question
mixed_outcome_mean,incorrect,0.0,mean,84,84,0.8101014543869259,0.7388758526183407,0.8792771717804966,5000,42,equal weight per question
mixed_outcome_paired_difference,incorrect_minus_correct,0.0,paired_difference,84,84,7.547738189830138e-05,-8.442780184283688e-05,0.0003108599475377364,5000,42,"within-question paired, equal weight per question"
mixed_outcome_mean,correct,0.1,mean,75,84,0.8959289933322905,0.8341517024343164,0.9557397766776475,5000,42,equal weight per question
mixed_outcome_mean,incorrect,0.1,mean,75,84,0.8969641635756482,0.8277677341338945,0.9615414735239425,5000,42,equal weight per question
mixed_outcome_paired_difference,incorrect_minus_correct,0.1,paired_difference,75,84,0.010297053852098654,-0.010614659394353973,0.03338862354004523,5000,42,"within-question paired, equal weight per question"
mixed_outcome_mean,correct,0.2,mean,72,84,0.8593310924178774,0.7939915526465308,0.9206229597877059,5000,42,equal weight per question
mixed_outcome_mean,incorrect,0.2,mean,72,84,0.8461237549790833,0.7746485660498894,0.9154800219830661,5000,42,equal weight per question
mixed_outcome_paired_difference,incorrect_minus_correct,0.2,paired_difference,72,84,-0.014995022984748082,-0.06282927640631063,0.032148881834807394,5000,42,"within-question paired, equal weight per question"
mixed_outcome_mean,correct,0.3,mean,67,84,0.791587931472927,0.7275817740073267,0.8556251576291444,5000,42,equal weight per question
mixed_outcome_mean,incorrect,0.3,mean,67,84,0.8195447425978544,0.7401828579336739,0.8945435024784034,5000,42,equal weight per question
